id,Coordy,Coordx,riesgo
580,20.5446633,-103.4642192,Riesgo moderado
581,20.6240259,-103.375689,Riesgo moderado
582,20.71927261,-103.3538208,Poco riesgo
583,20.64361191,-103.4407501,Poco riesgo
584,20.63977432,-103.447319,Poco riesgo
585,20.64506912,-103.4602737,Riesgo moderado
586,20.648224,-103.403053,Riesgo moderado
587,20.66720963,-103.2911301,Poco riesgo
588,20.6642733,-103.3659296,Poco riesgo
589,20.68985367,-103.3465424,Poco riesgo
590,20.7067349,-103.3517704,Poco riesgo
591,20.69175339,-103.2723541,Poco riesgo
592,20.55851364,-103.4169998,Alto riesgo
593,20.6464386,-103.3122482,Poco riesgo
594,20.69615364,-103.3551025,Poco riesgo
595,20.68276024,-103.3522568,Sin riesgo
596,20.71412468,-103.346138,Poco riesgo
597,20.7002455,-103.3715213,Poco riesgo
598,20.73101807,-103.411644,Poco riesgo
600,20.70864296,-103.4583206,Riesgo moderado
602,20.4640569,-103.4330327,Poco riesgo
603,20.66679382,-103.3003693,Poco riesgo
604,20.56100082,-103.3127747,Poco riesgo
605,20.6446286,"-103.315795,",Poco riesgo
606,20.6176973,-103.4516392,Poco riesgo
607,20.67136574,-103.371582,Sin riesgo
608,20.67946243,-103.3503876,Poco riesgo
609,20.62227631,-103.3739243,Poco riesgo
610,20.66835403,-103.3283844,Poco riesgo
611,20.62308693,-103.4155884,Riesgo moderado
612,20.64966011,-103.4565125,Poco riesgo
613,20.743734,-103.411362,Poco riesgo
614,20.62648964,-103.3302231,Poco riesgo
615,20.75853348,-103.4341736,Riesgo moderado
616,20.68277359,-103.3539658,Poco riesgo
617,20.717493,-103.455627,Poco riesgo
618,20.61052895,-103.2833862,Poco riesgo
619,20.7303512,-103.4441173,Riesgo moderado
621,20.7060569,-103.3844281,Poco riesgo
622,20.6883812,-103.2785339,Poco riesgo
623,20.65039444,-103.3532104,Poco riesgo
624,20.68873978,-103.2948303,Riesgo moderado
625,20.73140526,-103.3938828,Sin riesgo
626,20.63545227,-103.4150085,Poco riesgo
627,20.69846344,-103.3327408,Riesgo moderado
628,20.61320877,-103.3963318,Poco riesgo
629,20.65761566,-103.2698898,Riesgo moderado
630,20.745565,-103.447151,Poco riesgo
632,20.67218399,-103.3546982,Poco riesgo
635,20.63015175,-103.3651276,Poco riesgo
636,20.766653,-103.446678,Poco riesgo
637,20.6543094,-103.3463659,Poco riesgo
638,20.65824318,-103.3857346,Poco riesgo
639,20.69003487,-103.2637634,Riesgo moderado
640,20.66722488,-103.335289,Poco riesgo
641,20.7398793,-103.3935181,Poco riesgo
643,20.6464483,"-103.314446,",Poco riesgo
644,20.61663246,-103.2856293,Poco riesgo
645,20.63352966,-103.4687347,Poco riesgo
646,20.7125652,-103.3763324,Poco riesgo
647,20.71332169,-103.3765793,Poco riesgo
648,20.67634201,-103.3548203,Poco riesgo
649,20.56100464,-103.3583298,Poco riesgo
650,20.72545815,-103.3370743,Riesgo moderado
651,20.66426468,-103.327919,Sin riesgo
652,20.6868248,-103.3620148,Poco riesgo
653,20.72545815,-103.3370743,Riesgo moderado
655,20.5990448,-103.2322083,Alto riesgo
656,20.68377113,-103.4245605,Riesgo moderado
657,20.69924164,-103.3139877,Poco riesgo
660,20.5472405,-103.3340312,Riesgo moderado
661,20.54715729,-103.3339767,Poco riesgo
