id,Coordy,Coordx,riesgo,Probabilidad_Clase_0,Probabilidad_Clase_1,riesgoFormula
268,20.67948723,-103.3806458,Poco riesgo,0.418210852,0.581789148,Poco riesgo
269,20.6893158,-103.3786087,Poco riesgo,0.253619228,0.746380772,Poco riesgo
270,20.69915962,-103.4524002,Poco riesgo,0.444313811,0.555686189,Poco riesgo
271,20.66048241,-103.2773438,Riesgo moderado,0.609412427,0.390587573,Riesgo moderado
272,20.60870171,-103.3153687,Poco riesgo,0.420666266,0.579333734,Poco riesgo
275,20.63205147,-103.3810043,Poco riesgo,0.477540119,0.522459881,Poco riesgo
276,20.68908691,-103.308075,Poco riesgo,0.320598763,0.679401237,Poco riesgo
277,20.64195442,-103.3076477,Poco riesgo,0.299200559,0.700799441,Poco riesgo
279,20.69570923,-103.2994919,Poco riesgo,0.434350958,0.565649042,Poco riesgo
280,20.69334221,-103.3607635,Riesgo moderado,0.53157445,0.46842555,Riesgo moderado
281,20.68173027,-103.435379,Poco riesgo,0.421115888,0.578884112,Poco riesgo
282,20.64968109,-103.3163376,Poco riesgo,0.466533063,0.533466937,Poco riesgo
283,20.60936356,-103.3406601,Poco riesgo,0.48143415,0.51856585,Poco riesgo
284,20.70283127,-103.3761826,Poco riesgo,0.477540119,0.522459881,Poco riesgo
286,20.648629,-103.306104,Poco riesgo,0.349561157,0.650438843,Poco riesgo
287,20.64614868,-103.4061661,Poco riesgo,0.415103441,0.584896559,Poco riesgo
288,20.65563393,-103.3175583,Poco riesgo,0.363913912,0.636086088,Poco riesgo
289,20.6918354,-103.415329,Poco riesgo,0.477540119,0.522459881,Poco riesgo
291,20.6502276,-103.3400989,Riesgo moderado,0.553926639,0.446073361,Riesgo moderado
292,20.7035923,-103.3474503,Poco riesgo,0.302871633,0.697128367,Poco riesgo
293,20.555522,-103.454044,Riesgo moderado,0.534543433,0.465456567,Riesgo moderado
294,20.66218758,-103.3637161,Poco riesgo,0.376953663,0.623046337,Poco riesgo
295,20.63219261,-103.3676758,Riesgo moderado,0.563865317,0.436134683,Riesgo moderado
296,20.69934464,-103.3550186,Poco riesgo,0.353116935,0.646883065,Poco riesgo
297,20.766819,-103.4526291,Poco riesgo,0.434350958,0.565649042,Poco riesgo
298,20.60447884,-103.2768707,Poco riesgo,0.420666266,0.579333734,Poco riesgo
299,20.67034149,-103.3593597,Poco riesgo,0.353116935,0.646883065,Poco riesgo
300,20.63021851,-103.4413452,Poco riesgo,0.493163463,0.506836537,Poco riesgo
301,20.72478676,-103.4189529,Alto riesgo,0.820089987,0.179910013,Alto riesgo
302,20.6624771,-103.3607539,Poco riesgo,0.478456928,0.521543072,Poco riesgo
303,20.62729073,-103.4107437,Poco riesgo,0.477540119,0.522459881,Poco riesgo
304,20.74594116,-103.3983994,Poco riesgo,0.477540119,0.522459881,Poco riesgo
305,20.59971619,-103.2864914,Poco riesgo,0.366251223,0.633748777,Poco riesgo
306,20.62727165,-103.3238373,Poco riesgo,0.315445425,0.684554575,Poco riesgo
307,20.6694789,-103.4526987,Alto riesgo,0.817776455,0.182223545,Alto riesgo
308,20.68035126,-103.2943344,Poco riesgo,0.477540119,0.522459881,Poco riesgo
309,20.65613747,-103.3726425,Poco riesgo,0.485128234,0.514871766,Poco riesgo
310,20.66382599,-103.3177338,Poco riesgo,0.262070707,0.737929293,Poco riesgo
311,20.61774635,-103.4513092,Riesgo moderado,0.618965247,0.381034753,Riesgo moderado
312,20.68844986,-103.2727509,Poco riesgo,0.485128234,0.514871766,Poco riesgo
313,20.6486187,-103.4577179,Riesgo moderado,0.609412427,0.390587573,Riesgo moderado
314,20.64454651,-103.3846817,Riesgo moderado,0.550068228,0.449931772,Riesgo moderado
315,20.71927261,-103.3538208,Poco riesgo,0.461345155,0.538654845,Poco riesgo
316,20.6629847,-103.2918445,Poco riesgo,0.434804228,0.565195772,Poco riesgo
317,20.58906174,-103.3329926,Poco riesgo,0.428542833,0.571457167,Poco riesgo
318,20.679276,-103.3694505,Sin riesgo,0.246818791,0.753181209,Sin riesgo
320,20.67141151,-103.3516464,Poco riesgo,0.304597035,0.695402965,Poco riesgo
321,20.66534805,-103.3720627,Poco riesgo,0.300053794,0.699946206,Poco riesgo
322,20.7337513,-103.3625031,Poco riesgo,0.434929424,0.565070576,Poco riesgo
323,20.66856384,-103.2760468,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
324,20.525013,-103.2522442,Alto riesgo,0.904268616,0.095731384,Alto riesgo
325,20.74462128,-103.3538818,Poco riesgo,0.485128234,0.514871766,Poco riesgo
326,20.65535164,-103.3008041,Riesgo moderado,0.548425765,0.451574235,Riesgo moderado
327,20.62725067,-103.2455292,Poco riesgo,0.4915053,0.5084947,Poco riesgo
328,20.66417122,-103.2893448,Poco riesgo,0.434350958,0.565649042,Poco riesgo
329,20.66966248,-103.4312286,Riesgo moderado,0.534543433,0.465456567,Riesgo moderado
330,20.62420273,-103.3763046,Riesgo moderado,0.553926639,0.446073361,Riesgo moderado
331,20.68199539,-103.3404083,Poco riesgo,0.341728286,0.658271714,Poco riesgo
332,20.67337036,-103.4270401,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
333,20.6683444,-103.3428639,Poco riesgo,0.369431749,0.630568251,Poco riesgo
334,20.68387604,-103.283783,Poco riesgo,0.485128234,0.514871766,Poco riesgo
335,20.6529026,-103.2786789,Riesgo moderado,0.534543433,0.465456567,Riesgo moderado
336,20.62694168,-103.2557449,Poco riesgo,0.477540119,0.522459881,Poco riesgo
337,20.67378426,-103.3153229,Poco riesgo,0.428542833,0.571457167,Poco riesgo
338,20.68483162,-103.3637009,Poco riesgo,0.350854252,0.649145748,Poco riesgo
339,20.4957771,-103.2420289,Alto riesgo,0.904268616,0.095731384,Alto riesgo
340,20.66248512,-103.3327103,Poco riesgo,0.48852447,0.51147553,Poco riesgo
342,20.64919472,-103.2699814,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
343,20.63952637,-103.3395462,Riesgo moderado,0.605692313,0.394307687,Riesgo moderado
344,20.71342659,-103.3740311,Poco riesgo,0.402477952,0.597522048,Poco riesgo
345,20.6553983,-103.3013819,Riesgo moderado,0.618965247,0.381034753,Riesgo moderado
346,20.59567,-103.3259577,Alto riesgo,0.882600089,0.117399911,Alto riesgo
347,20.535263,-103.2976462,Alto riesgo,0.845196028,0.154803972,Alto riesgo
